client_country,server_city,server_country
KI,Auckland,NZ
US,Salt Lake City,US
MX,Monterrey,MX
CH,Milan,IT
PE,Lima,PE
US,Washington,US
AU,Perth,AU
NE,Lagos,NG
AR,Santiago,CL
SX,Miami,US
UA,Paris,FR
MR,London,GB
BL,Miami,US
TN,London,GB
IS,London,GB
GB,Singapore,SG
SZ,Johannesburg,ZA
DE,Dublin,IE
TO,Auckland,NZ
AT,Prague,CZ
CA,New Delhi,IN
BY,Dublin,IE
CV,Lisbon,PT
LI,Zurich,CH
BI,Nairobi,KE
HN,Miami,US
NO,Stavanger,NO
DE,Brussels,BE
NG,Nairobi,KE
BA,Belgrade,RS
YE,Doha,QA
AT,Sofia,BG
MV,Chennai,IN
EC,Lima,PE
KG,Amsterdam,NL
QA,Doha,QA
NO,Hamburg,DE
MN,Seoul,KR
NG,Portland,US
NP,New Delhi,IN
KE,Maputo,MZ
MZ,Johannesburg,ZA
PL,Berlin,DE
PH,Paris,FR
WS,Auckland,NZ
MK,Sofia,BG
HU,Prague,CZ
CH,Zurich,CH
LK,Chennai,IN
BW,Johannesburg,ZA
SE,Helsinki,FI
DE,Berlin,DE
ET,London,GB
GY,Miami,US
MQ,Bogota,CO
US,Manila,PH
RS,Belgrade,RS
CU,Miami,US
CA,Toronto,CA
YE,Nairobi,KE
US,Miami,US
NA,Maputo,MZ
US,Las Vegas,US
VI,Miami,US
CA,Vancouver,CA
FR,Marseille,FR
BG,Sofia,BG
PL,Prague,CZ
VG,Miami,US
MC,Turin,IT
PL,Frankfurt,DE
TL,Jakarta,ID
EG,Sofia,BG
ES,Lisbon,PT
GH,Lagos,NG
AT,Belgrade,RS
US,Denver,US
US,New York,US
BD,New Delhi,IN
TC,Miami,US
MQ,Paris,FR
IS,Dublin,IE
AM,Sofia,BG
VU,Auckland,NZ
DE,Frankfurt,DE
HR,Podgorica,ME
GM,Lagos,NG
EC,Bogota,CO
BT,Singapore,SG
GB,Dublin,IE
ME,Podgorica,ME
SI,Prague,CZ
LB,Dublin,IE
IT,Athens,GR
ER,Dublin,IE
CA,Moncton,CA
NP,Singapore,SG
FJ,Auckland,NZ
GR,Sofia,BG
TW,Frankfurt,DE
AS,Auckland,NZ
JP,Osaka,JP
CD,Lagos,NG
MF,Miami,US
LA,Singapore,SG
JP,Doha,QA
ID,Singapore,SG
TH,Singapore,SG
MO,Hong Kong,HK
AM,Frankfurt,DE
ZW,Johannesburg,ZA
CR,Bogota,CO
EE,Helsinki,FI
SB,Sydney,AU
EG,Dublin,IE
NG,Tunis,TN
DE,Prague,CZ
IT,Podgorica,ME
CO,Bogota,CO
US,Los Angeles,US
NG,Lagos,NG
AD,Barcelona,ES
LB,Athens,GR
BO,New York,US
AE,Doha,QA
IL,Tel Aviv,IL
CA,Winnipeg,CA
AO,London,GB
ES,Madrid,ES
RO,Sofia,BG
BB,Miami,US
SD,Dublin,IE
JP,Taipei,TW
JP,Tokyo,JP
CZ,Zurich,CH
MT,Milan,IT
SY,London,GB
DE,Zurich,CH
NZ,Wellington,NZ
MX,Los Angeles,US
AW,Montreal,CA
DE,Hamburg,DE
AZ,Sofia,BG
SS,Nairobi,KE
MX,Dallas,US
MK,Podgorica,ME
BE,Brussels,BE
MG,Johannesburg,ZA
UA,Warsaw,PL
KH,Singapore,SG
SI,Milan,IT
US,Portland,US
KZ,Helsinki,FI
CA,Miami,US
AL,Podgorica,ME
MY,Jakarta,ID
GE,Tel Aviv,IL
BN,Singapore,SG
HR,Belgrade,RS
GH,Lisbon,PT
PH,Hong Kong,HK
LR,Lisbon,PT
MX,Miami,US
CR,Denver,US
LT,Warsaw,PL
CN,London,GB
TD,Dublin,IE
PH,Manila,PH
IN,Singapore,SG
KR,Tokyo,JP
MG,Omaha,US
RO,Frankfurt,DE
MR,Dublin,IE
SG,Singapore,SG
US,Charleston,US
CA,Spokane,US
ZA,Maputo,MZ
CZ,Warsaw,PL
MU,Dublin,IE
MG,Maputo,MZ
IT,Milan,IT
AT,Milan,IT
FR,Brussels,BE
NL,Amsterdam,NL
PR,Miami,US
MW,Maputo,MZ
VE,Bogota,CO
MM,Hong Kong,HK
MD,Sofia,BG
FI,Stockholm,SE
RW,Nairobi,KE
HK,Hong Kong,HK
UG,Nairobi,KE
US,Omaha,US
CZ,Prague,CZ
KH,Chennai,IN
IR,Omaha,US
LV,Frankfurt,DE
PS,Athens,GR
IQ,Dublin,IE
DM,Bogota,CO
BJ,Lagos,NG
US,San Francisco Bay Area,US
NG,Lisbon,PT
PK,Singapore,SG
CA,Montreal,CA
FI,Helsinki,FI
HN,Mexico City,MX
GF,Bogota,CO
SL,Tel Aviv,IL
MY,Singapore,SG
TR,Sofia,BG
VC,Miami,US
AR,Buenos Aires,AR
CL,Santiago,CL
KE,Nairobi,KE
PT,Lisbon,PT
RS,Sofia,BG
SL,Lisbon,PT
NF,Auckland,NZ
GM,Lisbon,PT
SV,Miami,US
VN,Singapore,SG
SE,Hamburg,DE
SC,London,GB
KY,Miami,US
TG,London,GB
RU,Stockholm,SE
SA,Dublin,IE
MA,Lisbon,PT
GT,Mexico City,MX
IT,Turin,IT
IT,Belgrade,RS
SK,Prague,CZ
RE,Maputo,MZ
CM,Lagos,NG
XK,Sofia,BG
GR,Podgorica,ME
AU,Melbourne,AU
CA,Calgary,CA
HU,Belgrade,RS
BJ,Lisbon,PT
RS,Podgorica,ME
BF,Lagos,NG
CK,Auckland,NZ
GH,Tunis,TN
HR,Milan,IT
PF,Auckland,NZ
PL,Warsaw,PL
GG,London,GB
MT,Podgorica,ME
LU,Brussels,BE
GB,London,GB
BR,Sao Paulo,BR
KW,Dublin,IE
IT,Marseille,FR
HT,Miami,US
KM,Dublin,IE
US,Tokyo,JP
AT,Zurich,CH
CI,Dublin,IE
US,Lima,PE
IE,Dublin,IE
PE,Bogota,CO
CH,Turin,IT
MP,Tokyo,JP
IN,Mumbai,IN
UY,Buenos Aires,AR
DE,Paris,FR
CA,Columbus,US
CA,Omaha,US
US,Chicago,US
ZA,Cape Town,ZA
KZ,New Delhi,IN
UZ,London,GB
SD,Tel Aviv,IL
FR,Paris,FR
RO,Belgrade,RS
PS,Tel Aviv,IL
IT,Sofia,BG
OM,Doha,QA
GF,Miami,US
NI,Miami,US
ES,Marseille,FR
LV,Helsinki,FI
MW,Nairobi,KE
AF,London,GB
BH,London,GB
SN,London,GB
AI,Bogota,CO
KN,Miami,US
CA,San Francisco Bay Area,US
CY,Tel Aviv,IL
US,Seattle,US
DO,Miami,US
US,Columbus,US
TT,Miami,US
LC,Bogota,CO
TV,Auckland,NZ
DE,Milan,IT
BO,Washington,US
JO,Tel Aviv,IL
ZM,Johannesburg,ZA
IL,Amsterdam,NL
GR,Athens,GR
SE,Stockholm,SE
CY,Athens,GR
AG,Bogota,CO
IE,London,GB
MG,Nairobi,KE
GY,Bogota,CO
MY,Manila,PH
JP,Seoul,KR
PH,Taipei,TW
JM,Miami,US
YT,Nairobi,KE
AL,London,GB
ID,Manila,PH
TZ,Dublin,IE
VE,Seoul,KR
ES,Barcelona,ES
DE,Amsterdam,NL
IM,London,GB
YE,Johannesburg,ZA
SN,Dublin,IE
TZ,Nairobi,KE
MM,Chennai,IN
IT,Tunis,TN
US,Dallas,US
DE,Washington,US
BS,Miami,US
KR,Sofia,BG
NI,Bogota,CO
GP,Paris,FR
MX,Las Vegas,US
SX,Bogota,CO
AG,Miami,US
DK,Berlin,DE
GU,Tokyo,JP
NO,Stockholm,SE
MX,Mexico City,MX
TT,Bogota,CO
PA,Bogota,CO
ZA,Johannesburg,ZA
BR,Florianopolis,BR
SE,Stavanger,NO
DZ,London,GB
AR,Florianopolis,BR
DK,Hamburg,DE
LY,Dublin,IE
BM,New York,US
SO,Dublin,IE
AU,Sydney,AU
NR,Sydney,AU
FM,Tokyo,JP
US,Melbourne,AU
DK,Stavanger,NO
KN,Bogota,CO
AE,Mumbai,IN
ID,Jakarta,ID
NZ,Auckland,NZ
PY,Buenos Aires,AR
CN,Tokyo,JP
NO,Helsinki,FI
MZ,Maputo,MZ